FisheryID,FisheryName,Source,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Action
3,Ft Brg Spt,FRAM,0,0,0,0,0,0,0,0,0,0,0,Remove  fishery
3,Ft Brg Spt,RMIS,15,101,22,33,133,23,35,4,25,40,431,Remove  fishery
3,Ft Brg Spt,Sampled,15,101,22,33,133,23,35,4,25,40,431,Remove  fishery
3,Ft Brg Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
4,Ft Brg Trl,FRAM,0,0,0,0,0,0,0,0,0,0,0,Remove  fishery
4,Ft Brg Trl,RMIS,,,,,,,,,,,0,Remove  fishery
4,Ft Brg Trl,Sampled,,,,,,,,,,,0,Remove  fishery
4,Ft Brg Trl,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
5,Ca KMZ Spt,FRAM,0,0,0,0,0,0,0,,0,0,0,Remove  fishery
5,Ca KMZ Spt,RMIS,50,90,49,184,275,12,27,,102,155,944,Remove  fishery
5,Ca KMZ Spt,Sampled,50,90,49,184,275,12,27,,102,155,944,Remove  fishery
5,Ca KMZ Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
6,Ca KMZ Trl,FRAM,0,0,0,0,0,0,0,,0,0,0,Remove  fishery
6,Ca KMZ Trl,RMIS,,,,,,,,,,,0,Remove  fishery
6,Ca KMZ Trl,Sampled,,,,,,,,,,,0,Remove  fishery
6,Ca KMZ Trl,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
7,So Cal Spt,FRAM,0,0,0,0,0,0,0,0,0,0,0,Remove  fishery
7,So Cal Spt,RMIS,68,77,3,87,56,6,8,461,68,501,1335,Remove  fishery
7,So Cal Spt,Sampled,68,77,3,87,56,6,8,461,68,501,1335,Remove  fishery
7,So Cal Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
8,So Cal Trl,FRAM,0,0,0,0,0,0,0,0,0,0,0,Remove  fishery
8,So Cal Trl,RMIS,,,,,,,,,,,0,Remove  fishery
8,So Cal Trl,Sampled,,,,,,,,,,,0,Remove  fishery
8,So Cal Trl,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
9,So Ore Trm,FRAM,0,0,0,0,0,0,0,0,0,0,0,Remove  fishery
9,So Ore Trm,RMIS,,,,,,,,,,,0,Remove  fishery
9,So Ore Trm,Sampled,,,,,,,,,,,0,Remove  fishery
9,So Ore Trm,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
11,SMi Or Trm,FRAM,1770,2941,,3803,9359,1473,,,,,19346,Remove  fishery
11,SMi Or Trm,RMIS,,,,,,,,,,,0,Remove  fishery
11,SMi Or Trm,Sampled,,,,,,,,,,,0,Remove  fishery
11,SMi Or Trm,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
12,NMi Or Trm,FRAM,238,3272,2951,4854,7169,1748,,,,,20232,Remove  fishery
12,NMi Or Trm,RMIS,4,4,,,,,3,,,2,13,Remove  fishery
12,NMi Or Trm,Sampled,4,4,,,,,3,,,2,13,Remove  fishery
12,NMi Or Trm,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
13,No Ore Trm,FRAM,0,1809,,631,2753,163,,,,,5356,Remove  fishery
13,No Ore Trm,RMIS,11,21,,6,18,17,11,45,,175,304,Remove  fishery
13,No Ore Trm,Sampled,11,21,,6,18,17,11,45,,175,304,Remove  fishery
13,No Ore Trm,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
15,Brkngs Spt,FRAM,60,0,177,364,559,128,50,0,0,540,1878,Remove years
15,Brkngs Spt,RMIS,60,28,209,439,567,138,52,,18,542,2053,Remove years
15,Brkngs Spt,Sampled,60,28,209,439,567,138,52,,18,542,2053,Remove years
15,Brkngs Spt,Xpansion,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,,Remove years
16,Brkngs Trl,FRAM,0,0,0,0,0,0,0,0,0,0,0,Remove  fishery
16,Brkngs Trl,RMIS,,,,,8,,,,,,8,Remove  fishery
16,Brkngs Trl,Sampled,,,,,,,,,,,0,Remove  fishery
16,Brkngs Trl,Xpansion,0,0,0,0,0,0,0,0,0,0,,Remove  fishery
17,Newprt Spt,FRAM,7827,5947,8580,5904,45570,9625,2415,7565,11264,28222,132919,No adjustment
17,Newprt Spt,RMIS,7824,5947,8580,5951,45593,9669,2422,7590,11260,28221,133057,No adjustment
17,Newprt Spt,Sampled,7824,5947,8580,5951,45593,9669,2422,7590,11260,28221,133057,No adjustment
