FisheryID,FisheryName,Gear,Num_Chars,PSC_Code
0,10 Tst Net,6,9,3M105    
0,10 Tst Net,6,4,3M16
0,Tlmk E Spt,4,10,5F22203   
3,Ft Brg Spt,4,13,6MO      CVFR
3,Ft Brg Spt,4,13,6MO      CVNH
3,Ft Brg Spt,4,13,6MO      NHFR
3,Ft Brg Spt,4,13,6MO      NHPP
3,Ft Brg Spt,4,13,6MO      SFCV
3,Ft Brg Spt,4,13,6MO      SFFR
3,Ft Brg Spt,4,13,6MO      SFNH
3,Ft Brg Spt,4,5,6MOFB
4,Ft Brg Trl,1,13,6MO      CBNH
4,Ft Brg Trl,1,13,6MO      CVFR
4,Ft Brg Trl,1,13,6MO      CVNH
4,Ft Brg Trl,1,13,6MO      CVPP
4,Ft Brg Trl,1,13,6MO      NHFR
4,Ft Brg Trl,1,13,6MO      NHPP
4,Ft Brg Trl,1,13,6MO      SFCV
4,Ft Brg Trl,1,13,6MO      SFFR
4,Ft Brg Trl,1,13,6MO      SFNH
4,Ft Brg Trl,1,13,6MO      SFPP
4,Ft Brg Trl,1,5,6MOFB
5,Ca KMZ Spt,4,13,6MO      BGCB
5,Ca KMZ Spt,4,13,6MO      BGSF
5,Ca KMZ Spt,4,13,6MO      CBSF
5,Ca KMZ Spt,4,13,6MO      FKBG
5,Ca KMZ Spt,4,13,6MO      OBFK
5,Ca KMZ Spt,4,5,6MOCR
5,Ca KMZ Spt,4,5,6MOEU
5,Ca KMZ Spt,4,5,6MOKC
6,Ca KMZ Trl,1,11,6MO      BG
6,Ca KMZ Trl,1,13,6MO      CBSF
6,Ca KMZ Trl,1,13,6MO      FKBG
6,Ca KMZ Trl,1,13,6MO      FKCB
6,Ca KMZ Trl,1,13,6MO      FKCV
6,Ca KMZ Trl,1,13,6MO      FKSF
6,Ca KMZ Trl,1,11,6MO      OB
6,Ca KMZ Trl,1,5,6MOCR
6,Ca KMZ Trl,1,5,6MOEU
7,So Cal Spt,4,13,6MO      FRPP
7,So Cal Spt,4,13,6MO      FRPS
