PR_Number,PR_MU_Number,CWT_Code,Number_Released,Release_name,Hatchery_name,Stock_name,brood_year,StockID,Name
16,2,'011044,26907,BURNT HILL CR (OPSR),ORE-PAC SALMON RANCH,NESTUCCA R PRIVATE,1995,194,M-oresoh
26,2,'020509,4931,R-Buck Cr,H-Toboggan Creek H,S-Bulkley R Up,2001,236,M-bcnchw
22,2,'023245,39501,R-Kanaka Cr,H-Bell-Irving Kanaka Cr H,S-Kanaka Cr,1994,226,M-frslwh
26,2,'026330,5000,R-Torney Cr,H-Eden Lake H,S-Torney Cr,1999,236,M-bcnchw
31,2,'030101,2038,AUKE LK 111-50,AUKE CREEK,AUKE CR,1997,240,M-niakhw
31,2,'030111,399,AUKE LK 111-50,AUKE CREEK,AUKE CR,1998,240,M-niakhw
33,2,'030158,11489,KETCHIKAN CR 101-47,DEER MOUNTAIN,KETCHIKAN CR,2003,244,M-siakhw
31,2,'035605,7860,JORDAN CR 111-50,NA,JORDAN CR 111-50,2000,240,M-niakhw
31,2,'035606,332,DUCK CR 111-50,NA,DUCK CR 111-50,2000,240,M-niakhw
31,2,'035607,632,SWITZER CR 111-40,NA,SWITZER CR 111-40,2000,240,M-niakhw
32,2,'040118,9631,CRESCENT BAY 113-41,SHELDON JACKSON,SHELDON JACKSON H,1996,242,M-noakhw
33,2,'040120,11053,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1998,244,M-siakhw
31,2,'040121,673,DUCK CR 111-50,NA,DUCK CR 111-50,1996,240,M-niakhw
31,2,'040122,781,DREDGE LK 111-50,NA,DREDGE LK 111-50,1996,240,M-niakhw
31,2,'040123,10029,CHILKAT R 115-32,NA,CHILKAT R 115-32,1997,240,M-niakhw
31,2,'040124,9771,CHILKAT R 115-32,NA,CHILKAT R 115-32,1997,240,M-niakhw
30,2,'040126,11081,TAKU R 111-32,NA,TAKU R 111-32,1997,238,M-tranhw
30,2,'040127,10059,TAKU R 111-32,NA,TAKU R 111-32,1997,238,M-tranhw
31,2,'040128,4078,CHILKAT LK 115-32,NA,CHILKAT R 115-32,1997,240,M-niakhw
32,2,'040129,11186,TAWAH CR 182-80,NA,TAWAH CR 182-80,1997,242,M-noakhw
32,2,'040130,11494,TAWAH CR 182-80,NA,TAWAH CR 182-80,1997,242,M-noakhw
30,2,'040131,7631,TAKU R 111-32,NA,TAKU R 111-32,1997,238,M-tranhw
30,2,'040132,1916,TAKU R 111-32,NA,TAKU R 111-32,1997,238,M-tranhw
30,2,'040133,104,TAKU R 111-32,NA,TAKU R 111-32,1998,238,M-tranhw
31,2,'040134,1998,CHILKAT R 115-32,NA,CHILKAT R 115-32,1997,240,M-niakhw
33,2,'040135,11051,STIKINE R 108-40,NA,STIKINE R 108-40,1998,244,M-siakhw
31,2,'040136,4862,AUKE CR 111-50,NA,AUKE CR,1998,240,M-niakhw
33,2,'040137,6409,STIKINE R 108-40,NA,STIKINE R 108-40,1998,244,M-siakhw
32,2,'040138,7876,TAWAH CR 182-80,NA,TAWAH CR 182-80,1997,242,M-noakhw
33,2,'040143,10877,UNUK R 101-75,NA,UNUK R 101-75,1997,244,M-siakhw
33,2,'040146,33608,CRYSTAL CR 106-44,CRYSTAL LAKE,CRYSTAL CR,1997,244,M-siakhw
33,2,'040151,20405,KETCHIKAN CR 101-47,DEER MOUNTAIN,KETCHIKAN CR,1997,244,M-siakhw
33,2,'040153,30803,WARD LK 101-47,DEER MOUNTAIN,KETCHIKAN CR,1997,244,M-siakhw
32,2,'040164,3354,CRESCENT BAY 113-41,SHELDON JACKSON,SHELDON JACKSON H,1999,242,M-noakhw
31,2,'040168,5684,AUKE CR 111-50,NA,AUKE CR,1999,240,M-niakhw
33,2,'040169,21732,WARD LK 101-47,DEER MOUNTAIN,KETCHIKAN CR,1999,244,M-siakhw
33,2,'040170,21458,KETCHIKAN CR 101-47,DEER MOUNTAIN,KETCHIKAN CR,1999,244,M-siakhw
33,2,'040172,10066,CRYSTAL CR 106-44,CRYSTAL LAKE,CRYSTAL CR,1999,244,M-siakhw
33,2,'040173,11259,CRYSTAL CR 106-44,CRYSTAL LAKE,CRYSTAL CR,1999,244,M-siakhw
33,2,'040174,9131,CRYSTAL CR 106-44,CRYSTAL LAKE,CRYSTAL CR,1999,244,M-siakhw
33,2,'040189,10668,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040190,10629,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040191,10636,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040192,10747,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040193,10563,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040194,9792,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040195,10515,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
